ID,OPERACION,MSGID,CODIGO,TIEMPOMQ,TIPO,TiempoTransaccion
84,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13E96CE,,8/05/2025 17:59,Req,
85,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13E960B,-22,8/05/2025 17:56,Resp,00:28
86,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13E960B,,8/05/2025 17:56,Req,
87,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13E7CD8,-22,8/05/2025 17:59,Resp,00:28
88,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13E7CD8,,8/05/2025 17:59,Req,
89,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13E6D93,,8/05/2025 17:58,Resp,00:23
90,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13E6D93,,8/05/2025 17:58,Req,
91,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13E4E6A,-22,8/05/2025 17:58,Resp,00:28
92,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13E4E6A,,8/05/2025 17:57,Req,
93,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13E3457,-22,8/05/2025 17:57,Resp,00:28
94,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13E3457,,8/05/2025 17:57,Req,
95,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13E342D,-22,8/05/2025 17:57,Resp,00:28
96,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13E342D,,8/05/2025 17:56,Req,
97,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13E2970,-22,8/05/2025 17:58,Resp,00:29
98,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13E2970,,8/05/2025 17:57,Req,
99,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13E1B55,-22,8/05/2025 17:57,Resp,00:28
100,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13E1B55,,8/05/2025 17:57,Req,
101,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13E1B4D,,8/05/2025 17:57,Resp,00:17
102,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13E1B4D,,8/05/2025 17:57,Req,
103,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13DFD42,-22,8/05/2025 17:57,Resp,00:28
104,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13DFD42,,8/05/2025 17:56,Req,
105,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13DF9E5,-22,8/05/2025 17:59,Resp,00:28
106,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13DF9E5,,8/05/2025 17:59,Req,
107,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13DF947,,8/05/2025 17:57,Resp,00:25
108,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13DF947,,8/05/2025 17:56,Req,
109,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13DD5B0,-22,8/05/2025 17:58,Resp,00:28
110,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13DD5B0,,8/05/2025 17:58,Req,
111,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13DC899,-22,8/05/2025 17:58,Resp,00:28
112,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13DC899,,8/05/2025 17:58,Req,
113,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13DC080,-22,8/05/2025 17:58,Resp,00:28
114,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13DC080,,8/05/2025 17:57,Req,
115,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13D9769,-22,8/05/2025 17:57,Resp,00:28
116,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13D9769,,8/05/2025 17:57,Req,
117,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13D975F,-22,8/05/2025 17:57,Resp,00:28
118,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13D975F,,8/05/2025 17:57,Req,
119,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13D96AE,-22,8/05/2025 17:58,Resp,00:29
120,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13D96AE,,8/05/2025 17:58,Req,
121,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13D9660,-22,8/05/2025 17:57,Resp,00:28
122,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13D9660,,8/05/2025 17:57,Req,
123,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13D8274,-22,8/05/2025 17:57,Resp,00:28
124,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13D8274,,8/05/2025 17:57,Req,
125,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13D8269,-22,8/05/2025 17:57,Resp,00:28
126,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13D8269,,8/05/2025 17:57,Req,
127,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13D7658,-22,8/05/2025 17:57,Resp,00:28
128,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13D7658,,8/05/2025 17:56,Req,
129,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13D655B,,8/05/2025 17:57,Resp,00:27
130,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13D655B,,8/05/2025 17:56,Req,
131,ValidarDebitoCongeladoACH_NIC,414D5120464C434F524D455342524B41680ED698A13D23BE,0,8/05/2025 17:58,Resp,00:00
132,ValidarDebitoCongeladoACH_NIC,414D5120464C434F524D455342524B41680ED698A13D23BE,,8/05/2025 17:58,Req,
133,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13C8FD1,-22,8/05/2025 17:58,Resp,00:28
134,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13C8FD1,,8/05/2025 17:58,Req,
135,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13C89B3,,8/05/2025 17:58,Resp,00:27
